body_id,x,y,vx,vy,mass,radius
0,45.20883604820583,82.78419370136224,1.6983794244958772,1.0553496900891066,34.666871674955075,3.32186814566789
1,72.34515575850429,78.67020471593464,-3.1951913078522796,5.231191685171751,48.44425365423944,3.926867054910268
2,92.36969655371372,64.70446166439031,2.777408710057064,4.06058151379692,14.018442128411,2.112394072697744
3,56.79364905880949,9.647196125781125,2.819311942200657,5.680500749762122,8.884955772881971,1.6817161653543307
4,38.22758426809349,96.46595240408939,3.382862092560837,6.943039056140033,33.680385375564,3.2742632202561213
5,45.174951732382056,7.862126631529485,-2.9748871501771674,6.122672006529927,7.881597133341292,1.5839161235559027
6,93.12635722031995,34.75612820068569,-1.1147123014911005,4.285533735882921,32.862972246043064,3.2342864677234515
7,12.887087876203916,49.621947211597764,-2.349983149776804,6.0087833417375975,7.728075138403284,1.5684140772528572
8,80.86008710362353,71.8289790391995,-1.6146112272821456,7.406652171007223,16.784988298204812,2.311455756616992
9,37.56883757058499,30.55499102715594,-3.1077436338132576,2.7180989105176225,36.622793355921864,3.4142930724904055
10,3.0765767579323504,79.91355728696922,1.418564619005322,6.31298693237885,8.039708883325371,1.5997246074253249
11,44.49644775806944,55.815806261842994,-3.099597082350315,1.2304877336631548,35.09226401660262,3.3421870930659034
12,48.511769581541344,57.94407048087107,2.280352137553768,5.706780164968553,28.37260429762675,3.005208885371415
13,53.43071211547669,32.33299040432597,-4.037377988258464,4.0029545329729865,22.240992462785407,2.6607382019739876
14,39.920230698965234,83.31902377245945,-2.2894878417273277,0.7466436989519064,8.488354872015108,1.6437540184585875
15,30.385042079732745,68.09854659542506,0.4907696273442924,6.990493922528036,10.684228017892403,1.8441516760659895
16,39.65526748144405,78.49789800773516,-2.8657444841716218,0.44038103084757657,28.141424283482543,2.9929406209821625
17,70.10087453179548,47.477466631757316,-2.914803596748637,4.55650066258476,5.068220591787663,1.2701435823269254
18,68.50844856042146,45.040471136514014,-1.0238289479432499,2.8394940635105583,6.668543762255487,1.4569363081395053
19,35.52213663886534,14.054653388415543,-2.2724867777087474,7.147524232972604,26.25429258136855,2.8908477793566654
20,70.65750645903978,30.811843985054132,4.03732818098526,6.946200643702214,43.60893139200564,3.725742072122821
21,46.607532607461806,30.838269387718622,2.0206403733253335,6.519874222777985,31.18572641201007,3.150670567476987
22,22.012773231676277,31.204101383758136,0.6816954425170888,1.7660949314407353,17.606257988280724,2.367328869500833
23,73.68485029588687,70.68227516911328,-0.5903297325060728,4.299146205814929,40.03575931221907,3.5698428522771266
24,63.76953431988312,9.795065431424252,-0.7244890498718226,0.6030362446085774,23.79794683692111,2.7522939067382066
25,31.570062921352534,18.383289672996764,-4.789229009262165,7.166614929870728,19.352799106563367,2.4819724577335567
26,90.51678833641775,59.470525219586754,-1.3177066948813692,5.329850714711391,7.180032913365866,1.5117789056106583
27,96.18670491192366,47.52192467581275,2.432976074344955,0.9568436638506255,3.5861386168965486,1.0684116130890926
28,49.448922140240406,92.6937267445476,0.6172298973409107,4.319382824717342,19.01127557283133,2.459974992514481
29,33.480382409433815,50.963230429632944,-0.5256754064215854,0.43091543544297406,10.189246898944507,1.8009269892756807
