particle_id,x,y,vx,vy
0,72.18692906492235,84.18780997619704,0.52773808684819,5.312706951439691
1,45.57026421187669,66.8496493839095,0.8976079040025651,4.086709153658174
2,78.68855618389892,32.53411801302952,,
3,65.44227388749272,88.77733417970758,,
4,17.06031870453195,73.87803148152113,,
5,87.78622667248565,68.5443057561071,,
6,70.5322353874018,47.066250545679644,,
7,73.05834591477455,33.14474474399187,,
8,19.880410755492075,18.71295731497079,,
9,46.03704615508434,83.08635573865384,,
10,39.85323063057848,47.66989343713406,,
11,84.22028062700275,27.33740162073465,,
12,61.216517422078645,35.44516723011121,,
13,76.11742357446107,57.437759200463155,,
14,45.68313880450474,25.24092504297732,,
15,28.412086008135645,79.59032411243355,,
16,54.00709690248496,71.79340847760508,,
17,14.738573726387154,68.9674777601263,,
18,76.62732942814165,45.5987736627572,,
19,60.43329972809427,61.851661984127794,,
20,70.45296178767857,58.3630979569995,,
21,38.350947904364126,63.19847543196354,,
22,87.81462015347293,17.81757099924485,,
23,81.89388208089224,44.528495910963535,,
24,72.06248372623615,14.898307506337034,,
25,25.985247271846237,50.89738265153372,,
26,46.87446032909644,37.91501004648142,,
27,13.435329842626686,22.654274681802256,,
28,22.47377324900981,19.631178301079213,,
29,64.25970108697061,58.03439418745887,,
30,69.23033539222048,25.10579549106628,,
31,87.32192221051996,84.94883822265119,,
32,36.52056352653729,57.90416007295341,,
33,39.63400392364905,39.41715620881575,,
34,47.986624241624746,58.14393007737931,,
35,25.454433698323502,13.165177763845096,,
36,20.361920373496393,87.51934917966474,,
37,48.33401327337647,50.033685679625066,,
38,27.68268143644854,73.44309377200908,,
39,63.204159804500044,18.270747399424188,,
40,45.29331727088262,49.80852922209388,,
41,76.90362609186396,50.933285151019994,,
42,65.76055653189165,86.54880980754845,,
43,35.01932893978471,57.0589338096249,,
44,76.6841401595533,49.38404353956544,,
45,74.73966155265906,32.875121863532634,,
46,41.19519623429712,38.103169964407016,,
47,32.98101332762643,52.64272073278455,,
48,64.47698088891458,46.43009080652756,,
49,21.10794027879046,12.563533127994134,,
50,26.140775509440765,77.44596316954251,,
51,10.947252440986661,82.60175779489494,,
52,72.90900373807976,22.512606172589926,,
53,63.15391780696336,55.61017455448905,,
54,66.15649938660594,19.882255775138667,,
55,72.69816464469308,65.03062937398498,,
56,47.021888586462545,33.98536261947632,,
57,55.114476717786516,64.27490585683071,,
58,20.761193074209697,69.38127717368195,,
59,19.254470352252852,72.81825210120653,,
60,63.12719689148819,20.271064127830265,,
61,48.00421536015094,84.13957944637121,,
62,55.033981601730275,29.27318706754623,,
63,70.85271522794672,13.820415199899314,,
64,60.976191173519304,55.7841464672204,,
65,53.96027506648614,40.82379095296002,,
66,54.52669398171766,77.87997651871089,,
67,33.9783115436933,76.05641119895229,,
68,12.090563587942093,36.43828090664298,,
69,44.4705528096342,87.84968170467397,,
70,26.733323675385616,34.75873062476,,
71,42.36509571054317,52.21022015391141,,
72,77.83683274974769,31.574164426625412,,
73,28.804016028139444,85.93193894914185,,
74,14.963184643583558,24.233104703979983,,
75,32.407010465703515,14.478827445146988,,
76,33.31005803980099,46.46230845244628,,
77,62.95773385889636,90.55886500469559,,
78,54.9281688362776,82.44978639960982,,
79,73.05417900658894,71.34192275798563,,
80,62.70001179191273,82.54442077308046,,
81,42.20043803646641,83.13028703730075,,
82,74.86498030788816,53.01129594591103,,
83,23.113508646066645,36.48356924776179,,
84,11.886411385531925,72.86981394318406,,
85,17.12219213381567,64.63668171797845,,
86,67.34931068373908,41.33427323029409,,
87,46.82696338411251,19.226566281122576,,
88,22.924899346706816,70.60057721829023,,
89,49.695247346268765,32.567938557340135,,
90,22.510060812129154,86.30804490670643,,
91,65.268832455612,30.13841102986602,,
92,46.106685290366904,21.136036287833708,,
93,40.09086885975352,77.89979921697707,,
94,34.45592231996048,23.01664153768619,,
95,60.815158649615626,25.526286657540435,,
96,39.41254783915624,59.49721701453559,,
97,17.30644206394992,80.99481436897001,,
98,19.712938051720034,26.903719254885125,,
99,87.09072175521486,35.99901315978008,,
